category;text
Chandler;It's fine, it's fine. Look, do you wanna get this part, or not? Here.
Chandler;Don't think of it as a cigarette. Think of it as the thing that's been missing from your hand. When you're holding it, you feel right. You feel complete.
Chandler;Nah, not so much. Alright, now we smoke. (Takes a puff.) Oh.. my.. God. (He continues to smoke.)
Chandler;Oh, Satan's minions at work again...
Chandler;I'm smoking. I'm smoking, I'm smoking.
Chandler;And this- is my reward!
Chandler;Okay, so this time I won't quit!
Chandler;All right! I'm putting it out, I'm putting it out. (He drops it in Phoebe's coffee.)
Chandler;What are you talking about? We love Schhteve! Schhteve was schhexy!.. Sorry.
Chandler;Oh, yeah. I'd marry him just for his David Hasselhof impression alone. You know I'm gonna be doing that at parties, right? (Does the impression)
Chandler;Yep, we sure showed those Hassidic jewellers a thing or two about softball..
Chandler;I personally could have a gallon of Alan.
Chandler;Well, maybe it's a contest, y'know? Like, collect all five?
Chandler;Hey, this is so unfair!
Chandler;So I have a flaw! Big deal! Like Joey's constant knuckle-cracking isn't annoying? And Ross, with his over-pronouncing every single word? And Monica, with that snort when she laughs? I mean, what the hell is that thing? ...I accept all those flaws, why can't you accept me for this?
Chandler;Hey, y'know, I have had it with you guys and your cancer and your emphysema and your heart disease. The bottom line is, smoking is cool, and you know it.
Chandler;Really? He does? (taking the phone) Hey, buddy, what's up! Oh, she told you about that, huh. Well, yeah, I have one now and then. Well, yeah, now. Well, it's not that big- ..well, that's true,.. Gee, y'know, no-one- no-one's ever put it like that before. Well, okay, thanks! (He hands the phone back and stubs out his cigarette.)
Chandler;Ooh, Lambchop. How old is that sock? If I had a sock on my hand for thirty years it'd be talking too.
Chandler;Joey ate my last stick of gum, so I killed him. Do you think that was wrong?
Chandler;(deadpan) Ooh, I'm alive with pleasure now.
Chandler;(sarcastic) Oh, she's sorry! I feel better!
Chandler;...That's it. I'm getting cigarettes.
Chandler;(leaving) I don't care, I don't care! Game's over! I'm weak! I've gotta smoke! I've gotta have the smoke!
Chandler;(returns) Yeah, alright.
Chandler;Uh, if I were omnipotent for a day, I'd.. make myself omnipotent forever.
Chandler;You got waaaay too much free time.
Chandler;Happy birthday, pal!
Chandler;"Well, aren't we Mr. ""The glass is half empty."""
Chandler;Eleven days before Halloween.. all the good costumes are gone?
Chandler;(trying to stop Ross leaving) C'mon, Ross! You, me, Joey, ice, guys' night out, c'mon, whaddya say, big guy, (Pretending to punch him in the stomach.) Huh? Huh? Huh?
Chandler;(stops) I have no idea.
Chandler;You got it.
Chandler;(looking) Oh, this is not that bad.
Chandler;...Poulet passes it up to Leetch! (Passes it to Joey.)
Chandler;We'll take a brief time out while Messier stops to look at some women's shoes.
Chandler;Yes, Bunny?
Chandler;(to Joey) Could've been a peach.
Chandler;What? There was ice there that night with Carol? Plastic seats? Four thousand angry Pittsburgh fans?
Chandler;(to Ross) See buddy, that's all you need, a bunch of toothless guys hitting each other with sticks.
Chandler;He's open!
Chandler;Hey, look, we're on that TV thing!
Chandler;(to the receptionist)'Scuse me.
Chandler;Listen, it's kind of an emergency. Well, I guess you know that, or we'd be in the predicament room. (The receptionist glares at him.)
Chandler;Excuse me, look, we've been here for over an hour, and a lot of people less sick than my friend have gone in. I mean, that guy with the toe thing? Who's he sleeping with? (She slides the gladd panel over and Chandler talks through it in a loud voice.) Oh, c'mon Dora, don't be mad... I know we both said some things we didn't mean, but that doesn't mean we still don't love each other. (To the waiting room.) Y'know, I feel like I've lost her.. (She slides the panel back, he turns, and it takes him by surprise.) Ba-!
Chandler;Yes, the moon, the glow, the magical feeling, you did this part- Could I get some painkillers over here, please?
Chandler;Well, what? What? What is it? That she left you? That she likes women? That she left you for another woman that likes women?
Chandler;Then what?
Chandler;So in your whole life, you've only been with one(He gets a look too)oh.
Chandler;I think it's great. Y'know, it's sweet, it's romantic...
Chandler;No, you kidding? The guy's a freak.. (Ross enters off camera)
Chandler;Oh, I thought you were great in Silence of the Lambs. Oh come on, admit it! All things considered, you had fun tonight.
Chandler;You gotta do it, man.
Chandler;Thanks. (The guy nods and leaves)
Chandler;Hello? Oh, uh, Rachel, it's the Visa card people.
Chandler;Alright. (on phone) Yes, this is Rachel.
Chandler;To the left, to the left- aww! (They all collapse)
Chandler;We can? All right, I'm tryin' that.
Chandler;So, Saturday night, the big night, date night, Saturday night, Sat-ur-day night!
Chandler;Not a one.
Chandler;Oh, right, right, shut up.
Chandler;No, I know, but it's just so hard, you know? I mean, you're sitting there with her, she has no idea what's happening, and then you finally get up the courage to do it, and there's the horrible awkward moment when you've handed her the note.
Chandler;Oh, thanks, but I think she'd feel like we're gangin' up on her.
Chandler;Ooh, I hate when my father calls me that.
Chandler;Oh. Well, hold on camper, are you sure you've thought this thing through?
Chandler;It's just you and Rachel, just the two of you? This is a date. You're going on a date.
Chandler;Yuh-huh.
Chandler;Well, you may wanna rethink the dirty underwear. This is basically the first time she's gonna see your underwearyou want it to be dirty?
Chandler;Oh, and uh, the fabric softener?
Chandler;There you go.
Chandler;Where are they? Where are they?
Chandler;It's great. Maybe tomorrow we can rent a car and run over some puppies.
Chandler;Here we go.
Chandler;Hey, Janice.
Chandler;Hey, that's not good. Can I get an espresso and a latte over here, please?
Chandler;What?
Chandler;(covering) What... did you get me there?
Chandler;Bullwinkle socks. That's so sweet.
Chandler;That's great.
Chandler;Well, I'm gonna get another espresso. Can I get you another latte?
Chandler;That's it?
Chandler;Oh, yeah, that hug looked pretty brutal.
Chandler;Janice. Hi, Janice. Ok, here we go. I don't think we should go out anymore. Janice.
Chandler;Here's the thing, Janice. You know, I mean, it's like we're different. I'm like the bing, bing, bing. You're like the boom, boom, (Chandler flails his hand out and hits Janice in the eye)... boom.
Chandler;Oh, my god, I'm so sorry. Are you ok?
Chandler;(to Phoebe) I hit her in the eye! I hit her in the eye! This is the worst break-up in the history of the world.
Chandler;Oh, I don't know, a million?
Chandler;I'm fine.
Chandler;I'm not fine. Here she comes.
Chandler;How do you do that?
Chandler;We should always always break up together.
Chandler;I'm free! I'm free!
Chandler;You can always spot someone who's never seen one of his plays before. Notice, no fear, no sense of impending doom...
Chandler;(staring at a woman across the room) Ross, ten o'clock.
Chandler;No, ten o'clock.
Chandler;(sighs and gestures to explain) There's a beautiful woman at eight, nine, ten o'clock!
Chandler;She's amazing! She makes the women that I dream about look like short, fat, bald men!
Chandler;Oh yeah, and what would my opening line be? 'Excuse me. Blarrglarrghh.'
Chandler;Oh please, could she be more out of my league? Ross, back me up here.
Chandler;Thank you, buddy.
Chandler;Y'think?
Chandler;Oh God, I can't believe I'm even considering this... I'm very very aware of my tongue...
Chandler;Here goes. (He walks over to her but just stands there.)
Chandler;Hi.... um... okay, next word... would be... Chandler! Chandler is my name, and, uh...(He clears his throat noisily)...hi.
Chandler;Yes, yes I did, but what I didn't say was what I was about to say, what I wanted to say was, uh... would you like to go out with me sometime, thankyou, goodnight. (He walks back to the others but she calls him back.)
Chandler;(running back) She said yes!! She said yes!! (To Joey) Awful play, man. Whoah. (To All) Her name's Aurora, and she's Italian, and she pronounces my name 'Chand-lrr'. 'Chand-lrr'. I think I like it better that way. (To Joey) Oh, listen, the usher gave me this to give to you. (He fishes a card out of his pocket.)
Chandler;Hey, kids.
Chandler;Well, I can't believe I've been here almost seven seconds and you haven't asked me how my date went.
Chandler;It was unbelievable. I-I've never met anyone like her. She's had the most amazing life! She was in the Israeli army...
Chandler;Alright. Once I got on the subway, right, and it was at night, and I rode it all the way to Brooklyn... just for the hell of it.
Chandler;Oh, I'm sorry, so 'we' is?
Chandler;Who's Rick?
Chandler;Oh, so you're divorced?
Chandler;Oh, I'm sorry, then you're widowed?...Hopefully?
Chandler;So tell me, how do- how do you think your husband would feel about you sitting here with me?...Sliding your foot so far up my pant leg you can count the change in my pocket?
Chandler;Ethan? There's, there's an Ethan?
Chandler;So explain something to me here, uh, what kind of a relationship do you imagine us having if you already have a husband and a boyfriend?
Chandler;...Hm.
Chandler;What 'not work out'? I'm seeing her again on Thursday. Didn't you listen to the story?
Chandler;"Well, y'know, I had some trouble with it at first too, but the way I look at it is, I get all the good stuff: all the fun, all the talking, all the sex; and none of the responsibility. I mean, this is every guy's fantasy!"
Chandler;Are we greeting each other this way now? 'Cause I like that.
Chandler;Thank God you didn't try to fan out the magazines. I mean, she'll scratch your eyes right out.
Chandler;Someone's left a glass on the coffee table. There's no coaster. It's a cold drink, it's a hot day. Little beads of condensation are inching their way closer and closer to the surface of the wood...
Chandler;Oh no, it's terrific, it's... it's... y'know, you deserve this, after all your years of struggling, you've finally been able to crack your way into showbusiness.
Chandler;Where's Joey? His mom's on the phone.
Chandler;C'mon, we're roommates! (He goes into the bathroom, screams, and runs back out.) My eyes!! My eyes!!
Chandler;Oh, that would be Monica. Hey, listen, I wanna borrow a coupla things, Aurora spent the night, I really wanna make her breakfast.
Chandler;Yeah, well, I only have twenty minutes until Ethan, so, y'know.. (He starts to raid the fridge.)
Chandler;No, no resentment, believe me, it's worth it. 'Kay? Y'know in a relationship you have these key moments that you know you'll remember for the rest of your life? Well, every- single- second is like that with Aurora.. and I've just wasted about thirty-five of them talking to you people, so, uh.. Monica, can you help me with the door? (He has armloads of stuff.)
Chandler;God, I love these fingers...
Chandler;No, actually I meant my fingers. Look at 'em, look at how happy they are.
Chandler;Oh no nonononononnononono, don't go.. (He kisses her and pulls her back down.)
Chandler;Don't go.
Chandler;(to himself) Too bad, she's leaving.
Chandler;Well, I thought- I thought you talked to Rick.
Chandler;What, Ethan? He got to spend the whole day with you!
Chandler;I know there'll be many moments in the years to come when I'll regret asking the following question, but- And Andrew is?
Chandler;Oh, so what you're saying is you're not completely fulfilled by Rick, Ethan and myself?
Chandler;Well, y'know, most women would kill for three guys like us.
Chandler;You.
Chandler;Nono, just you.
Chandler;Lose the other guys.
Chandler;C'mon, we're great together, why not?
Chandler;...Well, y'know, part of me wants that, but it's like I'm two guys, y'know? I mean, one guy's going 'Shut up! This is great!' But there's this other guy. Actually it's the same guy that wells up every time that Grinch's heart grows three sizes and breaks that measuring device... And he's saying, y'know, 'This is too hard! Get out! Get out!'
Chandler;I don't know, I-I have to listen to both of them, they don't exactly let each other finish...
Chandler;...The second guy.
Chandler;Sorry, the first guy runs the lips.
Chandler;"(to Ross) ""Big guy?"""
Chandler;Something so sweet and...disturbing about that.
Chandler;Oh, great. This is just...
Chandler;Oh my God, it's that Victoria's Secret model. Something... something Goodacre.
Chandler;She's right, it's Jill. Jill Goodacre. Oh my God. I am trapped in an ATM vestibule with Jill Goodacre! (pause) Is it a vestibule? Maybe it's an atrium. Oh, yeah, that is the part to focus on, you idiot!
Chandler;Jill says vestibule... I'm going with vestibule.
Chandler;Oh! Some guy. Some guy. 'Hey Jill, I saw you with some guy last night. Yes, he was some guy.
Chandler;Alright, alright, alright. It's been fourteen and a half minutes and you still have not said one word. Oh God, do something. Just make contact, smile!
Chandler;There you go!
Chandler;You're definitely scaring here.
Chandler;Yeah, about 300 guys I went to high school with. Yeah, thanks. (takes phone)
Chandler;Hey, it's me.
Chandler;Yeah, I'm fine. (trying to cover up what he is saying) I'm trppd in an ATM vstbl wth Jll Gdcr.
Chandler;I'm trppd... in an ATM vstbl... wth Jll Gdcr!
Chandler;(angry) Put Joey on the phone.
Chandler;I'm trppd... in an ATM vstbl... wth JLL GDCR.
Chandler;Yeah, like that thought never entered my mind.
Chandler;Um, is it sugarless?
Chandler;Oh, then no thanks. What the hell was that? Mental note: If Jill Goodacre offers you gum, you take it. If she offers you mangled animal carcass, you take it.
Chandler;You know, on second thought, gum would be perfection. (Jill gives him a stick of gum, and a strange look) 'Gum would be perfection'? 'Gum would be perfection.' Could have said 'gum would be nice,' or 'I'll have a stick,' but no, no, no, no. For me, gum is perfection. I loathe myself.
Chandler;(chewing gum) Ah, let's see. What next? Blow a bubble. A bubble's good. It's got a... boyish charm, it's impish. Here we go.
Chandler;Nice going, imp. OK, it's OK. All I need to do is reach over and put it in my mouth. (Chandler slyly grabs the gum from the wall and slides it back in his mouth.)
Chandler;Good save! We're back on track, and I'm... (grimacing) ..chewing someone else's gum. This is not my gum. Oh my God! Oh my God! And now you're choking.
Chandler;(gasping) Yes... thank you. That was... that was....
Chandler;OK.
Chandler;Yes. Yes, thanks for letting me use your phone... and for saving my life.
Chandler;Hi, um, I'm account number 7143457. And, uh, I don't know if you got any of that, but I would really like a copy of the tape.
Chandler;Dehydrated Japanese noodles under fluorescent lights... does it get better than this?
Chandler;Ah, y'see, perfect might be a problem. Had you said 'co-dependent', or 'self-destructive'...
Chandler;Yes please.
Chandler;He's a he?
Chandler;...Couldn't enjoy a cup of noodles after that. I mean, is that ridiculous? Can you believe she actually thought that?
Chandler;You did?
Chandler;Huh. Did, uh... any of the rest of you guys think that when you first met me?
Chandler;You're kidding! Did you tell her I wasn't?
Chandler;Well, this is fascinating. So, uh, what is it about me?
Chandler;Ross is smart and funny, d'you ever think that about him?
Chandler;WHAT IS IT?!
Chandler;Oh, oh, a quality, good, because I was worried you guys were gonna be vague about this.
Chandler;I just have to know, okay. Is it my hair?
Chandler;Hey, gorgeous.
Chandler;No, nono, don't- don't worry about it. Believe me, apparently other people have made the same mistake.
Chandler;So, uh... what do you think it is about me?
Chandler;...Quality, right, great.
Chandler;Lowell? Financial Services' Lowell, that's who you saw me with?
Chandler;Well, yeah... 's'no Brian in Payroll.
Chandler;No! Uh, I d'know! The point is, if you were gonna set me up with someone, I'd like to think you'd set me up with someone like him.
Chandler;Excuse me? You don't think I could get a Brian? Because I could get a Brian. Believe you me. ...I'm really not.
Chandler;Well, don't we look nice all dressed up?...It's stuff like that, isn't it?
Chandler;Nothing, just your overcoat sounds remarkably like Brent Mussberger.
Chandler;You're watching a football game at a funeral?
Chandler;You are a frightening, frightening man.
Chandler;Oh, no-
Chandler;Hi, I'm Chandler, and I have no idea who Dorothy is.
Chandler;Hey.
Chandler;Who are those people?
Chandler;Hey, Lowell.
Chandler;So how's it going there in Financial Services?
Chandler;Good, good. Listen, heh, I dunno what Shelley told you about me, but, uh... I'm not.
Chandler;Really.
Chandler;So- you can tell?
Chandler;So you don't think I have a, a quality?
Chandler;He is?
Chandler;Out of my league. I could get a Brian. (Brian enters behind him) If I wanted to get a Brian, I could get a Brian. (Sees him) Hey, Brian.
Chandler;Hey.
Chandler;And this from the cry-for-help department. Are you wearing makeup?
Chandler;That's so funny, 'cause I was thinking you look more like Joey Tribbiani, man slash woman.
Chandler;Do you know which one you're gonna be?
Chandler;Good luck, man. I hope you get it.
Chandler;Yes, every single one of them.
Chandler;I thought it was $98.50.
Chandler;I'd just like to say that I'm totally behind this experiment. In fact, I'd very much like to butter your head.
Chandler;All right, I'm nine years old.
Chandler;We just finished this magnificent Thanksgiving dinner. I have--and I remember this part vividly--a mouthful of pumpkin pie, and this is the moment my parents choose to tell me they're getting divorced.
Chandler;Yes. It's very difficult to appreciate a Thanksgiving dinner once you've seen it in reverse.
Chandler;Tonight, on a very special Blossom.
Chandler;Oh, you must stop shooping.
Chandler;No, I prefer to keep a safe distance from all this merriment.
Chandler;Ok, we all laughed when you did it with the stuffing, but that's not funny anymore.
Chandler;The most unbelievable thing has happened. Underdog has just gotten away.
Chandler;No, no, the actual cartoon character. Of course the balloon. It's all over the news. Right before he reached Macy's, he broke free and was spotted flying over Washington Square Park. I'm goin' to the roof, who's with me?
Chandler;Come on. An 80-foot inflatable dog let loose over the city. How often does that happen?
Chandler;Do either of you have the keys?
Chandler;(sarcastic) For an emergency just like this.
Chandler;Ok, Monica, only dogs can hear you now, so, look, the door's open. Here we go.
Chandler;Now this feels like Thanksgiving.
Chandler;Shall I carve?
Chandler;Ok, who wants light cheese, and who wants dark cheese?
Chandler;I'd like to propose a toast. Little toast here, ding ding. I know this isn't the kind of Thanksgiving that all of you all planned, but for me, this has been really great, you know, I think because it didn't involve divorce or projectile vomiting. Anyway, I was just thinking, I mean, if you'd gone to Vail, and if you guys'd been with your family, if you didn't have syphilis and stuff, we wouldn't be all together, you know? So I guess what I'm trying to say is that I'm very thankful that all of your Thanksgivings sucked.
Chandler;Here, here!
Chandler;Hey, that monkey's got a Ross on its ass!
Chandler;Might wanna open with the snowman.
Chandler;Nothing for you, you have Paolo. You don't have to face the horrible pressures of this holiday: desperate scramble to find anything with lips just so you can have someone to kiss when the ball drops!! Man, I'm talking loud!
Chandler;It's just that I'm sick of being a victim of this Dick Clark holiday. I say this year, no dates, we make a pact. Just the six of us- dinner.
Chandler;Y'know, I was hoping for a little more enthusiasm.
Chandler;(Quietly, to the others) That guy's going home with a note!
Chandler;Wait a minute, wait a minute, I see where this is going, you're gonna ask him to New Year's, aren't you. You're gonna break the pact. She's gonna break the pact.
Chandler;Yeah, 'cause I already asked Janice.
Chandler;I snapped, okay? I couldn't handle the pressure and I snapped.
Chandler;I'm not saying it was a good idea, I'm saying I snapped!
Chandler;Too many jokes... must mock Joey!
Chandler;Aah, y'killing me!
Chandler;Y'know, if you're gonna work late, I could look in on him for you.
Chandler;Okay, but if he asks, I'm not going to lie.
Chandler;Fun Bobby? Your ex-boyfriend Fun Bobby?
Chandler;I happen to know a Fun Bob.
Chandler;That's so weird, I had such a blast with him the other night.
Chandler;Yeah, we played, we watched TV.. that juggling thing is amazing.
Chandler;With the balled-up socks? I figured you taught him that.
Chandler;Y'know, it wasn't that big a deal. He just balled up socks... and a melon...
Chandler;You remember Janice.
Chandler;(Imitating) But you found me!
Chandler;Kill me. Kill me now.
Chandler;Alright, Janice, that's it! Janice... Janice... Hey, Janice, when I invited you to this party I didn't necessarily think that it meant that we-
Chandler;I'm sorry you misunderstood...
Chandler;Oh, will you give me the thing. (Snatches the camera)
Chandler;(To a woman who he has clearly just met) And then the peacock bit me. (Laughs) Please kiss me at midnight. (She leaves)
Chandler;Ooh. Uh, I don't know how to tell you this, but she's in Monica's bedroom, getting it on with Max, that scientist geek. Ooh, look at that, I did know how to tell you.
Chandler;And the moment of joy is upon us.
Chandler;Y'know, I uh.. just thought I'd throw this out here. I'm no math whiz, but I do believe there are three girls and three guys right here. (Makes kiss noise)
Chandler;Alright, somebody kiss me. Somebody kiss me, it's midnight! Somebody kiss me!
Chandler;Are there no conscious men in the city for you two?
Chandler;Y'know, we don't have to watch this. Weekend At Bernie's is on Showtime, HBO, and Cinemax.
Chandler;Exactly. Weekend At Bernie's! Dead guy getting hit in the groin twenty, thirty times! No?
Chandler;Yeah, well, you wouldn't think it was cool if you're eleven years old and all your friends are passing around page 79 of 'Mistress Bitch.'
Chandler;You can say that because she's not your mom.
Chandler;Shhh, busy beaming with pride.
Chandler;Now why would she say that's embarrassing?
Chandler;THAT'S TOO MUCH INFORMATION!!
Chandler;This is the way that I find out. Most moms use the phone.
Chandler;...And then he burst into flames.
Chandler;Please God don't let it be Kung Pow Chicken.
Chandler;Well, I think you need to come out of your shell just a little.
Chandler;I know I am.
Chandler;Myyy mother, ladies and gentlemen.
Chandler;What are you guys doing out here?
Chandler;Okay, you guys spend waaaay too much time together. (Goes back inside and shuts the door)
Chandler;Oh my God.
Chandler;I can't believe it. Paolo kissed my mom?
Chandler;What?
Chandler;(To Joey) You knew about this?
Chandler;I spent the entire day with you, why didn't you tell me?!
Chandler;(To Ross) I can't believe this! What the hell were you thinking?
Chandler;Y'know, of all my friends, no-one knows the crap I go through with my mom more than you.
Chandler;I can't believe you did this. (Walks toward the door)
Chandler;I'm still mad at you for not telling me.
Chandler;"You gotta let me slam the door! (Leaves; slams the door)"
Chandler;What was that?
Chandler;Yeah, I believe I was talking to Joey, alright there, Mother-Kisser? (Goes to the counter)
Chandler;Yes, well, I expect this from her. Okay? She's always been a Freudian nightmare.
Chandler;Because it's complicated, it's complex- Hey, you kissed my mom!
Chandler;That's very funny. We done now?
Chandler;That would be no. Look, just because you played tonsil tennis with my mom doesn't mean you know her. Alright? Trust me, you can't talk to her.
Chandler;No, just knowing you're gonna be there is enough.
Chandler;You kissed my best Ross! ...Or something to that effect.
Chandler;Really stupid.
Chandler;Yeah. No. No...
Chandler;Yeah, okay.
Chandler;Nice save.
Chandler;Hey.
Chandler;Yeah, why not. (They shake hands) So I told her.
Chandler;Awful. Awful. Couldn'ta gone worse.
Chandler;Pretty good! I told her.
Chandler;No-no-no-no, we're done.
Chandler;And, we're done with the yogurt. (Sets yogurt down on table)
Chandler;(to Ross) Ah, it's just a weekend, big deal!
Chandler;Ok, you're going to have to stop that, forever!
Chandler;You think?
Chandler;Ok, so it's just because it was my table, I have to buy a new one?
Chandler;What rule? There's no rule, if anything, you owe me a table!
Chandler;Well, I believe the piece of furniture was fine until your little breakfast adventure with Angela Delvecchio
Chandler;Well, let's just say the impressions you made in the butter left little to the imagination.
Chandler;What do you mean, like, buy it together?
Chandler;You think we're ready for something like that?
Chandler;Well, it's a pretty big commitment, I mean, what if one of us wants to move out?
Chandler;I'm not moving out.
Chandler;Yeah, yeah, it's just that with my last roommate Kip...
Chandler;It's just that we bought a hibachi together, and then he ran off and got married, and things got pretty ugly.
Chandler;Aw, don't do that
Chandler;Fine. (Joey and Chandler walk towards the door)
Chandler;More coffee over here, please!
Chandler;So what are you gonna do?
Chandler;Oh, yeah, you have to tell her.
Chandler;That's patio furniture!
Chandler;(gesturing towards another table) What about the birds?
Chandler;You pick one.
Chandler;Oh, so, forget about the birds, but big red insects suggest fine dining!
Chandler;Not like that, I won't! (pauses) Kip would have liked the birds! (Joey turns and gives Chandler a dirty look)
Chandler;So, what do you think?
Chandler;I know!
Chandler;What are you still doing here? She just broke up with the guy, it's time for you to swoop in!
Chandler;My Catholic friend is right. She's distraught. You're there for her. You pick up the pieces, and then you usher in the age of Ross! (Ross and Chandler look off into the distance. Joey, wondering what they are looking at, looks in the same direction)
Chandler;Wha-
Chandler;Hey!
Chandler;Yeah, get out!
Chandler;(to Joey) One more game?
Chandler;I'm sorry!
Chandler;Rachel, wait, wait.
Chandler;Can I just say one thing?
Chandler;That's a relatively open weave and I can still see your... nipular areas.
Chandler;Oh, yes, could I have one of those. (Points)
Chandler;Okay.
Chandler;No, she's still upset because I saw her boobies.
Chandler;It was an accident. Not like I was across the street with a telescope and a box of donuts.
Chandler;Y'know, I don't know why you're so embarrassed, they were very nice boobies.
Chandler;Okaaay, (Gestures) rock, hard place, me.
Chandler;Whoah whoah, back up there, Sparky. What'd you mean by that?
Chandler;Huh.
Chandler;Uhhuh, how did you know that?
Chandler;(Without looking up) What? (Looks up) What?
Chandler;Y'know, I don't see that happening?
Chandler;Well I'm not showing you my 'tat.'
Chandler;(Sarcastic) Oh, good. Rog is here.
Chandler;Oh, it's nothing, it's a little thing... I hate that guy.
Chandler;Oh look, it's the woman we ordered.
Chandler;Uh, Joey's having an embolism, but I'd go for a Nip, y'know?
Chandler;Joey, if I go first, I wanna be looking for my keys.
Chandler;So, who's up for a big game of Kerplunk?
Chandler;"C'mon, I'll show you to my room. ...That sounds so weird when it's not followed by ""No thanks, it's late."""
Chandler;Hey, Kicky. What're you doing?
Chandler;Well, you're gonna.
Chandler;Are they end to end, or tall like pancakes?
Chandler;Hey, you're not him. You're you. When they were all over you to go into your father's pipe-fitting business, did you cave?
Chandler;"No. You decided to go into the out-of-work actor business. Now that wasn't easy, but you did it! And I'd like to believe that when the right woman comes along, you will have the courage and the guts to say ""No thanks, I'm married."""
Chandler;Yeah. I really do.
Chandler;Get off!
Chandler;(Comes out of his room) What? What?
Chandler;Sorry, my my thing was in there with me.
Chandler;Basically we just feel that he's...
Chandler;Things sure have changed here on Waltons mountain.
Chandler;If I turn into my parents, I'll either be an alcoholic blond chasing after twenty-year-old boys, or... I'll end up like my mom.
Chandler;Any contact?
Chandler;Come on, Ross, you gotta get back in the game here, ok? The Rachel thing's not happening, your ex-wife is a lesbianI don't think we need a third...
Chandler;I think it's winning.
Chandler;She'll love it. Go with the egg, my friend.
Chandler;No, it's suicide. The man's got an egg.
Chandler;Oh, uh, listen, about tonight...
